ORGANISM_ID,ORGANISM_NAME,ORGANISM_DESCRIPTION,STRAIN_ID,STRAIN_TYPE,STRAIN_CODE,STRAIN_DESCRIPTION,STRAIN_NOTES,ORGANISM_CLASS,RISK_GROUP,PATHOGEN,BIOLOGIST,IMPORT_PERMIT,OXYGEN_PREF,ATMOSPHERE_PREF,NUTRIENT_PREF,BIOFILM_PREF,STATUS,ACREATEDBY,ACREATEDDATE,AMODIFIEDBY,AMODIFIEDDATE,TAX_ID,BIOL_APPROVAL,SPECIAL_PRECAUTION,STRAIN_TISSUE,SCREEN_PANEL,LAB_RESTRICTION,SEQUENCE,SEQUENCE_LINK,SEQUENCE_MLST,MTA_DOCUMENT,MTA_STATUS,GEN_TYPE
GN_005,Escherichia coli,,CI  Paterson BoxNo: 7,Clinical Isolate;Resistant,Ec R(TIM) CI,Timentin R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_006,Escherichia coli,,CI  Paterson BoxNo: 12,Clinical Isolate;Resistant,Ec R(TIM) CI,Timentin R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_007,Escherichia coli,,CI  Paterson BoxNo: 37,Clinical Isolate;Resistant,Ec ESBL,ESBL/AmpC,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_008,Klebsiella pneumoniae,,CI  Paterson BoxNo: 39,Clinical Isolate;Resistant,Kp ESBL/AmpC CI,ESBL/AmpC,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_009,Pseudomonas aeruginosa,,CI  Paterson BoxNo: 42,Clinical Isolate;Resistant,Pa R(MEM) CI,Meropenem R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,Antibiogram GN,PC2.3,,,,,,
GN_010,Pseudomonas aeruginosa,,CI  Paterson BoxNo: 43,Clinical Isolate;Resistant,Pa R(MEM) CI,Meropenem R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,Antibiogram GN,PC2.3,,,,,,
GN_011,Pseudomonas aeruginosa,,CI  Paterson BoxNo: 44,Clinical Isolate;Resistant,Pa R(MEM) CI,Meropenem R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,Antibiogram GN,PC2.3,,,,,,
GN_012,Klebsiella pneumoniae,,CI  Paterson BoxNo: 46,Clinical Isolate;Resistant,Kp R(MEM) CI,Meropenem R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_013,Escherichia coli,,CI  Paterson BoxNo: 48,Clinical Isolate;Resistant,Ec ESBL CI,ESBL,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_014,Acinetobacter baumannii,,CI  Paterson BoxNo: 61,Clinical Isolate;Resistant,Ab R(MEM) CI,Meropenem R (Bangkok),,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,uqaelli3,27/JUN/22,470,,,,Acinetobacter Ext;Antibiogram GN,PC2.3,,,,,,
GN_015,Klebsiella pneumoniae,,CI  Paterson BoxNo: 75,Clinical Isolate;Resistant,Kp ESBL CI,ESBL,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_016,Enterobacter cloacae,,CI  Paterson BoxNo: 79,Clinical Isolate;Resistant,En.cl MDR CI,MDR,,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,550,,,,Antibiogram GN,PC2.3,,,,,,
GN_017,Klebsiella pneumoniae,,CI  Paterson BoxNo: 101,Clinical Isolate;Resistant,Kp R(MEM) CI,Meropenem R,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_018,Klebsiella pneumoniae,,CI  Paterson BoxNo: 92,Clinical Isolate;Resistant,Kp ESBL CI,ESBL,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_019,Acinetobacter baumannii,,CI  Paterson BoxNo: 85,Clinical Isolate;Resistant,Ab CRAB CI,CRAB; Carbapenem resistant,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,470,,,,Acinetobacter Ext; Antibiogram GN,PC2.3,,,,,,
GN_020,Acinetobacter baumannii,,CI  Paterson BoxNo: 86,Clinical Isolate;Resistant,Ab CRAB CI,CRAB; Carbapenem resistant,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,470,,,,Acinetobacter Ext; Antibiogram GN,PC2.3,,,,,,
GN_021,Helicobacter pylori,,ATCC 43504,,,,,Gram-Negative,RG2,,S.Ramu,,Aerobic Microaerophiles,35% O2 10% CO2,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,210,,,,,PC2.2,,,,,,
GN_022,Pseudomonas aeruginosa,,ATCC 10145,Control,Pa 10145,Type strain,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,Antibiogram GN,PC2.1,,,,,,
GN_023,Escherichia coli,,CI  Paterson Plate:1,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_024,Escherichia coli,,CI  Paterson Plate:2,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_025,Escherichia coli,,CI  Paterson Plate:3,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_026,Escherichia coli,,CI  Paterson Plate:4,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_027,Escherichia coli,,CI  Paterson Plate:5,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_028,Escherichia coli,,CI  Paterson Plate:6,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_029,Escherichia coli,,CI  Paterson Plate:7,Clinical Isolate;Resistant,"Ec R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_030,Klebsiella pneumoniae,,CI  Paterson Plate:8,Clinical Isolate;Resistant,"Kp R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_031,Klebsiella pneumoniae,,CI  Paterson Plate:9,Clinical Isolate;Resistant,"Kp R(CIP,SXT) CI",Resistant to Ciprofloxacin and SXT ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_032,Acinetobacter baumannii,,BAA-1605 ,Clinical Isolate;Resistant,Ab MDR CI,"Res-Ceft, Gent, Tic, Pip, Azt, Cef, Cip, Imip, Merop. Sens-Amik, Tob",Sputum of military personnel returning from Afghanistan entering a Canadian hospital June 30 2006,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,uqaelli3,27/JUN/22,470,,,Sputum,Acinetobacter Ext,PC2.3,,,,,,"OXA-177, TEM, cat, ampC, ant1, neo"
GN_033,Acinetobacter baumannii,,ATCC 17978,Clinical Isolate,Ab S,Sensitive,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,a.elliott,06/AUG/20,470,,,,Acinetobacter Ext;Antibiogram GN;Eurofins Thigh;Eurofins Lung,PC2.2,,,,,,"ant(3'')-Iia, blaADC-26, blaOXA-259, sul2"
GN_034,Acinetobacter baumannii,,ATCC 19606,Control,Ab,Type strain,,Gram-Negative,RG2,,S.Ramu,,Aerobic,,,,1,ORGDB,10/OCT/17,uqaelli3,27/JUN/22,470,,,Urine,Acinetobacter Ext;Antibiogram GN;CO-ADD Ext GN;CO-ADD Std;COLOP Std,PC2.1,,Available via ATCC Genomes,,,,"OXA-51 (OXA-133?), TEM-116, sul2"
GN_035,Pseudomonas aeruginosa,,ATCC 49189,Clinical Isolate,Pa SPR-88,SPR-88,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,Antibiogram GN,PC2.2,,,,,,
GN_036,Enterobacter cloacae,,ATCC 39979,Resistant,En.cl R(RIF),Rifampicin resistant,,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,550,,,,Antibiogram GN,PC2.3,,,,,,
GN_037,Enterobacter cloacae,,ATCC 13047,Control,En.cl,Type strain ,,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,550,,,,Antibiogram GN,PC2.1,,,,,,
GN_038,Acinetobacter baumannii,,03.023.1,Resistant,Ab R(CST),Colistin resistant,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,470,,,,Antibiogram GN,PC2.3,,,,,,
GN_039,Acinetobacter baumannii,,03.021.1,Resistant,Ab R(CST),Colistin resistant,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,470,,,,Antibiogram GN,PC2.3,,,,,,
GN_040,Escherichia coli,,CGSC 5167,Mutant;Resistant,,D31m4 ; heptoless; Amp resistant,Rough/short LPS; no O-antigen (similar to K12),Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,a.elliott,17/JAN/19,562,,,,,PC2.1,,,,,,
GN_041,Escherichia coli,,CGSC 7139; DC2,Mutant GMO,,DC2 ,Deficient in osmoregulation of periplasmic oligosaccharide synthesis,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,uqaelli3,19/APR/22,562,,,,,PC2.1,,,,,,Parent is K12
GN_042,Pseudomonas aeruginosa,,ATCC 27853,Control,Pa,Control strain,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,a.elliott,06/AUG/20,287,,,,Antibiogram GN;CO-ADD Ext GN;CO-ADD Std;COLOP Std;Eurofins Thigh;Eurofins Lung;Eurofins Peritonitis,PC2.1,,Elliott et al unpublished,,,,"OXA-50, PAO, catB7, fosA"
GN_043,Pseudomonas aeruginosa,,FADDI-PA070,Resistant,Pa R(PolB),Polymyxin resistant,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,a.elliott,24/JUN/20,287,,,,Antibiogram GN;CO-ADD Ext GN;COLOP Std,PC2.3,,Elliott et al unpublished,,,,"OXA-50, PAO, catB7, fosA"
GN_044,Escherichia coli,,ATCC 10536,Resistant,Ec R(PMB),Polymyxin resistant,Not Polymyxin Resistant,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.2,,,,,,
GN_045,Klebsiella pneumoniae,,BAA-2146,Resistant,Kp NDM-1,NDM-1,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,uqccoggo,08/JUL/22,573,,,,Antibiogram GN;CO-ADD Ext GN;COLOP Std,PC2.3,,,,,,"aac(3)-IIa, aacA4, aadA2, catB3, CMY-6, CTX-M-15, dfrA14, NDM-1, OXA-1, rmtC, strA, strB, sul1, TEM-1B, aac(6)ib-cr, mph(A), QnrB58, oqxA, oqxB, sul1, sul2, tet(A)"
GN_046,Escherichia coli,,MB4902,Mutant GMO,Ec LpxC,lpxC ,Deficient in IpxC therefore non efficient lipidA production; doi: 10.1074/jbc.M406848200,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,thu.pham,08/AUG/19,562,,,,Antibiogram GN;CO-ADD Std,PC2.1,,,,Merck,,
GN_047,Escherichia coli,,MB4827 ,Control,Ec,Control strain; K12,doi: 10.1074/jbc.M406848200,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,uqaelli3,19/APR/22,562,,,,Antibiogram GN,PC2.1,,,,Merck,,
GN_048,Escherichia coli,,MB5746,Mutant GMO,Ec LpxC TolC,"lpxC, tolC","Mutant of lpxC and tolC, therefore no lipid A or tolC efflux pump; doi: 10.1074/jbc.M406848200",Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,a.elliott,08/AUG/19,562,,,,Antibiogram GN,PC2.1,,,,Merck,,
GN_049,Escherichia coli,,MB5747,Mutant GMO,Ec TolC,tolC,Mutant of tolC efflux pump; doi: 10.1074/jbc.M406848200,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,1,ORGDB,10/OCT/17,m.amado,08/AUG/19,562,,,,Antibiogram GN;CO-ADD Std,PC2.1,,,,Merck,,
GN_050,Pseudomonas aeruginosa,,Xen 41,Luminescent,,,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,"37C, with 5% CO2",,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,,PC2.2,,,,,,
GN_051,Klebsiella pneumoniae,,Xen 39,Luminescent,,,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,"37C, with 5% CO2",,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,,PC2.2,,,,,,
GN_052,Pseudomonas aeruginosa,,Xen 5,Luminescent,,,P. Aeruginosa Xen 5 may be grown selectively in medium/agar containing 60 ?g/ml tetracycline to prevent contamination.,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,,PC2.2,,,,,,
GN_053,Klebsiella pneumoniae,,ATCC 13883,Control,,,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,,PC2.1,,,,,,
GN_054,Klebsiella pneumoniae,,[m]ATCC 13883,Resistant;Mutant,,Colistin Resistant,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,,PC2.3,,,,,,
GN_055,Salmonella enterica subsp. enterica serovar Typhimurium,,,Control,,,,Gram-Negative,RG2,,,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,90371,,,,,PC2.3,,,,,,
GN_056,Bordetella bronchiseptica,,,Control,,,,Gram-Negative,RG2,,,,Aerobic Obligate,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,518,,,,,PC2.1,,,,,,
GN_057,Escherichia coli,,ATCC 25922,Control,,Parent strain of GN_058 and GN_059,,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,,PC2.1,,,,,,
GN_058,Escherichia coli,,[m]ATCC 25922; Arenicin(20p),Serial passage,,[m]ATCC 25922; Arenicin(20p),,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,,PC2.3,,,,,,
GN_059,Escherichia coli,,"[m]ATCC 25922; Arenicin(20p),(3p)",Serial passage,Ec R(Arenicin),"[m]ATCC 25922; Arenicin(20p),(3p)",,Gram-Negative,RG1,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,Antibiogram GN,PC2.3,,,,,,
GN_060,Escherichia coli,,3083559 NZ-17000 =   EC2 A (20) ,Serial passage,,3083559 NZ-17000 =   EC2 A (20) ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,562,,,,,PC2.3,,,,,,
GN_061,Klebsiella pneumoniae,,3083832 NZ-17000 =  KP1 A (20) ,Serial passage,,3083832 NZ-17000 =  KP1 A (20) ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,,PC2.3,,,,,,
GN_062,Klebsiella pneumoniae,,3083583 NZ-17000 =   KP2 E (20) ,Serial passage,,3083583 NZ-17000 =   KP2 E (20) ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,,PC2.3,,,,,,
GN_063,Pseudomonas aeruginosa,,ATCC 27853 NZ-17000 =   PA1 E (20) ,Serial passage,,ATCC 27853 NZ-17000 =   PA1 E (20) ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,,PC2.3,,,,,,
GN_064,Pseudomonas aeruginosa,,3083655 NZ-17000 =   PA2 E (20),Serial passage,,3083655 NZ-17000 =   PA2 E (20),,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,,PC2.3,,,,,,
GN_065,Acinetobacter baumannii,,3083835 NZ-17000 =   AB1 A (20) ,Serial passage,,3083835 NZ-17000 =   AB1 A (20) ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,470,,,,,PC2.3,,,,,,
GN_066,Acinetobacter baumannii,,3083684 NZ-17000 =   AB2 E (20) ,Serial passage,,3083684 NZ-17000 =   AB2 E (20) ,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,470,,,,,PC2.3,,,,,,
GN_067,Klebsiella pneumoniae,,3083832,Control,Kp,3083832,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.2,,,,,,
GN_068,Klebsiella pneumoniae,,3083583,Control,Kp,3083583,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,573,,,,Antibiogram GN,PC2.3,,,,,,
GN_069,Pseudomonas aeruginosa,,ATCC 27853,Control,Pa 27853,QC strain; Parent strain of GN_063,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,11/DEC/20,287,,,,Antibiogram GN,PC2.1,,,,,,
GN_070,Pseudomonas aeruginosa,,3083655,Control,Pa,3083655,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,287,,,,Antibiogram GN,PC2.2,,,,,,
GN_071,Acinetobacter baumannii,,3083835,Control,Ab,3083835,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,11/DEC/20,470,,,,Antibiogram GN,PC2.3,,,,,,
GN_072,Acinetobacter baumannii,,3083684,Control,Ab,3083684,,Gram-Negative,RG2,,S.Ramu,,Anaerobic Facultative,,,,,ORGDB,10/OCT/17,ORGDB,11/DEC/20,470,,,,Antibiogram GN,PC2.3,,,,,,
